molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit,Lipinski_violations,Lipinski_pass,Veber_pass,Triage_label
208.21,0.67,74.6,2,4,208.21299999999997,0.6675,74.6,2.0,4.0,2.0,0,True,True,High-priority
208.3,3.64,22.37,0,2,208.301,3.638220000000002,22.37,0.0,2.0,2.0,0,True,True,High-priority
210.32,2.71,37.3,1,2,210.317,2.708900000000001,37.3,1.0,2.0,3.0,0,True,True,High-priority
211.26,3.64,25.02,1,1,211.264,3.6381200000000016,25.02,1.0,1.0,1.0,0,True,True,High-priority
211.26,1.0,61.77,1,3,211.265,1.0027,61.77,1.0,3.0,2.0,0,True,True,High-priority
212.29,4.08,17.07,0,1,212.292,4.084120000000003,17.07,0.0,1.0,2.0,0,True,True,High-priority
214.13,1.22,115.74,1,6,214.133,1.2171999999999998,115.74,1.0,6.0,3.0,0,True,True,High-priority
214.22,0.35,64.99,1,5,214.217,0.3547999999999999,64.99000000000001,1.0,5.0,5.0,0,True,True,High-priority
216.28,1.39,78.89,2,4,216.281,1.3945,78.89,2.0,4.0,7.0,0,True,True,High-priority
217.27,-0.97,118.44,4,4,217.269,-0.966399999999998,118.44,4.0,4.0,8.0,0,True,True,High-priority
217.29,1.21,66.4,2,3,217.29,1.2106,66.4,2.0,3.0,6.0,0,True,True,High-priority
218.17,0.99,90.92,0,6,218.172,0.9879999999999998,90.92,0.0,5.0,3.0,0,True,True,High-priority
218.29,1.24,66.76,2,4,218.29299999999992,1.2449,66.76,2.0,4.0,10.0,0,True,True,High-priority
218.34,4.19,17.07,0,1,218.33999999999995,4.192400000000003,17.07,0.0,1.0,0.0,0,True,True,High-priority
219.95,-4.51,79.95,0,6,219.947,-4.5136,79.94999999999999,0.0,4.0,0.0,0,True,True,High-priority
220.18,1.19,83.83,2,5,220.18,1.1871999999999998,83.83000000000001,2.0,5.0,1.0,0,True,True,High-priority
220.31,2.92,34.14,0,2,220.31199999999995,2.9171000000000014,34.14,0.0,2.0,1.0,0,True,True,High-priority
220.49,4.13,15.79,1,0,220.486,4.128100000000001,15.79,1.0,0.0,0.0,0,True,True,High-priority
220.5,2.99,26.02,1,1,220.497,2.99312,26.02,1.0,1.0,0.0,0,True,True,High-priority
222.37,3.92,20.23,1,1,222.372,3.920000000000004,20.23,1.0,1.0,0.0,0,True,True,High-priority
223.23,1.66,86.63,3,3,223.228,1.6615,86.63000000000001,3.0,3.0,6.0,0,True,True,High-priority
224.21,1.51,83.83,2,5,224.212,1.5115999999999998,83.83000000000001,2.0,5.0,3.0,0,True,True,High-priority
224.21,-0.22,72.83,1,5,224.212,-0.2194999999999999,72.83000000000001,1.0,5.0,0.0,0,True,True,High-priority
226.23,0.78,79.9,2,5,226.228,0.7800199999999999,79.9,2.0,5.0,0.0,0,True,True,High-priority
